entrez	degree	betweenness
6416	45	0.00032170085605655806
5599	70	0.0014355668722286616
5871	25	0.00012300204107450804
1326	15	5.817880456633544e-05
207	179	0.013528616736896322
4296	23	6.607308536224997e-05
4216	32	0.00028627360194549055
10746	26	8.167421709173928e-05
4214	60	0.0012696679950354986
5601	40	0.0008961629589197245
5602	19	6.389436223262193e-05
4217	49	0.000595118775764351
5608	47	0.00046529921209918556
1432	117	0.005031365698075771
4215	64	0.002589645794105369
120892	163	0.010698529785500913
5609	53	0.0012773786848738308
6885	51	0.0006001540225205661
5594	145	0.007807169259900192
25929	30	0.0005037624697388424
1956	302	0.02137557004208103
4294	16	2.4577484670952124e-05
4077	22	0.0005116146632980789
7316	384	0.045431581404883854
57664	356	0.03835114878316606
150274	44	0.0010474294257918075
23390	30	0.0011664932468105358
10221	9	2.1234257190651968e-05
6300	24	0.00019231637087678338
7786	8	6.798567260482902e-06
8837	25	0.0001653604261101787
6789	74	0.0032319460706142816
51776	18	4.2896537555425795e-05
3656	32	0.000339659723878163
10392	23	0.00018477186022873283
5600	37	0.0003266922386135678
5582	32	0.0005485679632554518
6233	186	0.01358879719967462
8767	43	0.00099366098021074
7314	204	0.013133545404524624
7311	181	0.016443652323523458
10454	27	0.00012035381384056841
3654	75	0.003526674785220859
64127	26	0.00027977835612980035
2318	26	0.0005198771179597297
825	8	3.4545217817739576e-05
90102	30	0.00020635994013543799
2335	132	0.020553370063585184
51177	15	0.00013202210866941226
4606	21	0.00026655494370625497
54443	146	0.007528916687950608
1894	88	0.005646227472155301
64857	21	0.0001625260479021437
152273	27	9.611720789222153e-05
64411	34	0.0004295019488689483
5921	83	0.002131284486576499
7846	56	0.005148142837808479
81	47	0.0008545409005419201
5795	37	0.00029399363075239816
2534	203	0.007892561480865187
25	162	0.005694902322619959
2317	30	0.0005741356522983904
7373	37	0.0014351529456281056
5792	60	0.0045328516057130935
10381	63	0.005848322490169061
4607	13	3.0557178127058736e-05
116986	15	4.760722196393486e-05
60	177	0.015058933068288264
84665	6	6.675040683884736e-07
200539	4	2.2497319261559574e-05
27063	7	3.1879679988634882e-06
7273	79	0.005494023917855506
23022	7	6.254710697320968e-05
88	68	0.004702380761082454
3741	10	0.0006105166949412763
1739	54	0.0022020878130366676
63923	4	4.9012704093454875e-06
1742	56	0.003699090317996641
3781	3	0.0
