symbol	entrez	ensembl	uniprot
MT-ND1	4535	ENSG00000198888	P03886
MT-ND2	4536	ENSG00000198763	P03891
MT-CO1	4512	ENSG00000198804	P00395
MT-CO2	4513	ENSG00000198712	P00403
MT-ATP8	4509	ENSG00000228253	P03928
MT-ATP6	4508	ENSG00000198899	P00846
MT-CO3	4514	ENSG00000198938	P00414
MT-ND3	4537	ENSG00000198840	P03897
MT-ND4L	4539	ENSG00000212907	P03901
MT-ND4	4538	ENSG00000198886	P03905
MT-ND5	4540	ENSG00000198786	P03915
MT-ND6	4541	ENSG00000198695	P03923
MT-CYB	4519	ENSG00000198727	P00156
TRAV12-2		ENSG00000211789	A0A075B6T6
LRRC72	100506049	ENSG00000205858	
TRAV8-4		ENSG00000211790	P01737
LRRC72	100506049	ENSG00000205858	A6NJI9
LYAR	55646	ENSG00000145220	Q9NX58
ZNF385D	79750	ENSG00000151789	Q9H6B1
LYAR	55646	ENSG00000145220	
ZNF385D	79750	ENSG00000151789	
DPH3	285381	ENSG00000154813	Q96FX2
SOSTDC1	25928	ENSG00000171243	Q6X4U4
DEFA6	1671	ENSG00000164822	Q01524
DEFA4	1669	ENSG00000164821	P12838
C20orf27	54976	ENSG00000101220	
DEFB125	245938	ENSG00000178591	Q8N687
C20orf27	54976	ENSG00000101220	Q9GZN8
HPX	3263	ENSG00000110169	P02790
FAM20C	56975	ENSG00000177706	Q8IXL6
TINF2	26277	ENSG00000092330	
TUBB8	347688	ENSG00000261456	
HPX	3263	ENSG00000110169	
TUBB8	347688	ENSG00000261456	Q3ZCM7
DEFB126	81623	ENSG00000125788	Q9BYW3
DEFB127	140850	ENSG00000088782	Q9H1M4
DEFB128	245939	ENSG00000185982	Q7Z7B8
HNF1B	6928	ENSG00000276194	P35680
DEFB129	140881	ENSG00000125903	Q9H1M3
TINF2	26277	ENSG00000092330	Q9BSI4
TFIP11	24144	ENSG00000100109	Q9UBB9
DEFB132	400830	ENSG00000186458	Q7Z7B7
HNF1B	6928	ENSG00000276194	
TFIP11	24144	ENSG00000100109	
FGFRL1	53834	ENSG00000127418	Q8N441
P3H3	10536	ENSG00000110811	Q8IVL6
FGFRL1	53834	ENSG00000127418	
SRRD	402055	ENSG00000100104	Q9UH36
WDR19	57728	ENSG00000157796	Q8NEZ3
TRAV13-2		ENSG00000211791	A0A0B4J235
TRAV14DV4		ENSG00000211792	A0A0A6YYC5
TRAV9-2		ENSG00000211793	A0A087WT02
WDR19	57728	ENSG00000157796	
GPR162	27239	ENSG00000250510	Q16538
GPR162	27239	ENSG00000250510	
KIR3DL2	3812	ENSG00000275083	P43630
FOXL3	116033993	ENSG00000248767	
NELFA	7469	ENSG00000185049	Q9H3P2
AATF	26574	ENSG00000276072	Q9NY61
AATF	26574	ENSG00000276072	
NELFA	7469	ENSG00000185049	
GID8	54994	ENSG00000101193	Q9NWU2
GUCA2B	2981	ENSG00000044012	Q16661
DNAJB12	54788	ENSG00000148719	Q9NXW2
JCHAIN	3512	ENSG00000132465	P01591
DNAJB12	54788	ENSG00000148719	
RPS13	6207	ENSG00000110700	
C20orf96	140680	ENSG00000196476	
LRRN4	164312	ENSG00000125872	Q8WUT4
JCHAIN	3512	ENSG00000132465	
C20orf96	140680	ENSG00000196476	Q9NUD7
SPEF1	25876	ENSG00000101222	Q9Y4P9
GUCA2A	2980	ENSG00000197273	Q02747
RPS13	6207	ENSG00000110700	P62277
CENPB	1059	ENSG00000125817	P07199
CRACR2B	283229	ENSG00000177685	
BSN	8927	ENSG00000164061	Q9UPA5
ENAM	10117	ENSG00000132464	Q9NRM1
NOL4L	140688	ENSG00000197183	Q96MY1
ENAM	10117	ENSG00000132464	
KRT76	51350	ENSG00000185069	Q01546
SPDYE13		ENSG00000286038	
ZFP69B	65243	ENSG00000187801	
LRRC3B	116135	ENSG00000179796	Q96PB8
GLYATL1B	100287520	ENSG00000255151	A0A0U1RQE8
NOL4L	140688	ENSG00000197183	
LRRC3B	116135	ENSG00000179796	
ZFP69B	65243	ENSG00000187801	Q9UJL9
KIR2DS4	3809	ENSG00000275351	
B3GNT2	10678	ENSG00000170340	Q9NY97
CRACR2B	283229	ENSG00000177685	Q8N4Y2
SLCO5A1	81796	ENSG00000137571	Q9H2Y9
CEP135	9662	ENSG00000174799	Q66GS9
SLCO5A1	81796	ENSG00000137571	
IGLV5-37		ENSG00000281471	A0A075B6J1
SFTPD	6441	ENSG00000133661	P35247
SFTPD	6441	ENSG00000133661	
SETBP1	26040	ENSG00000152217	Q9Y6X0
KIR3DL3	115653	ENSG00000276084	
PRDM2	7799	ENSG00000116731	
UCN	7349	ENSG00000163794	P55089
SETBP1	26040	ENSG00000152217	
ACTR3C	653857	ENSG00000106526	
TESK1	7016	ENSG00000107140	Q15569
ROCK2	9475	ENSG00000134318	O75116
ROCK2	9475	ENSG00000134318	
PRDM2	7799	ENSG00000116731	Q13029
ACTR3C	653857	ENSG00000106526	Q9C0K3
PPP1R9A	55607	ENSG00000158528	
SKA3	221150	ENSG00000165480	Q8IX90
DMTN	2039	ENSG00000158856	
PNPLA2	57104	ENSG00000177666	Q96AD5
KIR2DL4	3805	ENSG00000278606	
TRIM54	57159	ENSG00000138100	Q9BYV2
ANKRD20A2P	441430	ENSG00000183148	Q5SQ80
ANKRD20A2P	441430	ENSG00000183148	
SKA3	221150	ENSG00000165480	
HAUS6	54801	ENSG00000147874	Q7Z4H7
HAUS6	54801	ENSG00000147874	
KRT3	3850	ENSG00000186442	P12035
DBNDD2	55861	ENSG00000244274	Q9BQY9
RARRES2	5919	ENSG00000106538	Q99969
RARRES2	5919	ENSG00000106538	
MRPL57	78988	ENSG00000173141	Q9BQC6
ZBED6CL	113763	ENSG00000188707	Q96FA7
PHF21B	112885	ENSG00000056487	
LRRC61	65999	ENSG00000127399	Q9BV99
TRAV12-3		ENSG00000211794	A0A0B4J271
TRAV8-6		ENSG00000211795	A0A0B4J262
TRAV16		ENSG00000211796	A0A0A6YYK6
TRAV17		ENSG00000211797	A0A0B4J275
KRT4	3851	ENSG00000170477	P19013
SPI1	6688	ENSG00000066336	P17947
TRAV18		ENSG00000211798	A0A075B6X5
TRAV19		ENSG00000211799	A0A0A6YYK7
TMEM38B	55151	ENSG00000095209	
KRT4	3851	ENSG00000170477	
CD72	971	ENSG00000137101	P21854
TRAV20		ENSG00000211800	A0A0B4J274
TRAV21		ENSG00000211801	A0A0B4J279
SPI1	6688	ENSG00000066336	
PHF21B	112885	ENSG00000056487	Q96EK2
RBM4B	83759	ENSG00000173914	Q9BQ04
TRAV22		ENSG00000211802	A0A0B4J277
KIR2DL1	3802	ENSG00000277833	
TRAV23DV6		ENSG00000211803	A0A075B6W5
DBNDD2	55861	ENSG00000244274	
KIR2DL1	3802	ENSG00000277833	P43626
CHST15	51363	ENSG00000182022	Q7LFX5
MCM10	55388	ENSG00000065328	Q7L590
CFAP53	220136	ENSG00000172361	Q96M91
BEGAIN	57596	ENSG00000183092	
NUP205	23165	ENSG00000155561	Q92621
MCM10	55388	ENSG00000065328	
CHST15	51363	ENSG00000182022	
RBM4B	83759	ENSG00000173914	
KIR2DL3	3804	ENSG00000274402	P43628
TMEM38B	55151	ENSG00000095209	Q9NVV0
BEGAIN	57596	ENSG00000183092	Q9BUH8
TP53TG5	27296	ENSG00000124251	Q9Y2B4
CD72	971	ENSG00000137101	
SPDYE14		ENSG00000286137	
PLAC8	51316	ENSG00000145287	Q9NZF1
RBM14	10432	ENSG00000239306	Q96PK6
CCDC96	257236	ENSG00000173013	Q2M329
FOXJ3	22887	ENSG00000198815	
PLAC8	51316	ENSG00000145287	
NUP205	23165	ENSG00000155561	
LYPLA2	11313	ENSG00000011009	O95372
TADA2B	93624	ENSG00000173011	
RBM14	10432	ENSG00000239306	
LYPLA2	11313	ENSG00000011009	
TADA2B	93624	ENSG00000173011	Q86TJ2
SH2D4A	63898	ENSG00000104611	Q9H788
SYS1-DBNDD2		ENSG00000254806	
PRRT4	401399	ENSG00000224940	C9JH25
PRRT4	401399	ENSG00000224940	
TBC1D14	57533	ENSG00000132405	
SH2D4A	63898	ENSG00000104611	
RBM14-RBM4	100526737	ENSG00000248643	
USH1C	10083	ENSG00000006611	Q9Y6N9
COA5	493753	ENSG00000183513	Q86WW8
PI15	51050	ENSG00000137558	O43692
COA5	493753	ENSG00000183513	
FAM162A	26355	ENSG00000114023	
SAMD11	148398	ENSG00000187634	
CASS4	57091	ENSG00000087589	Q9NQ75
MAFB	9935	ENSG00000204103	Q9Y5Q3
FAM162A	26355	ENSG00000114023	Q96A26
WDR5B	54554	ENSG00000196981	Q86VZ2
SYS1	90196	ENSG00000204070	Q8N2H4
ZFP69	339559	ENSG00000187815	Q49AA0
SYS1	90196	ENSG00000204070	
AHDC1	27245	ENSG00000126705	Q5TGY3
APOBEC1	339	ENSG00000111701	P41238
ZNF500	26048	ENSG00000103199	O60304
ZNF500	26048	ENSG00000103199	
APOBEC1	339	ENSG00000111701	
KIR3DL1	3811	ENSG00000275486	
AHDC1	27245	ENSG00000126705	
RHBDL1	9028	ENSG00000103269	O75783
RHBDL1	9028	ENSG00000103269	
PRSS12	8492	ENSG00000164099	P56730
PRPF31	26121	ENSG00000275885	Q8WWY3
PRPF31	26121	ENSG00000275885	
RBM4	5936	ENSG00000173933	Q9BWF3
CNOT3	4849	ENSG00000277114	
FRMPD4	9758	ENSG00000169933	
SPDYE15		ENSG00000286014	
FAM111B	374393	ENSG00000189057	Q6SJ93
RBM4	5936	ENSG00000173933	
FRMPD4	9758	ENSG00000169933	Q14CM0
FAM111B	374393	ENSG00000189057	
EIF5	1983	ENSG00000100664	P55010
EIF5	1983	ENSG00000100664	
CHD7	55636	ENSG00000171316	Q9P2D1
YIPF1	54432	ENSG00000058799	Q9Y548
CHD7	55636	ENSG00000171316	
USH1C	10083	ENSG00000006611	
FOXJ3	22887	ENSG00000198815	Q9UPW0
FAAP20	199990	ENSG00000162585	
ZNF621	285268	ENSG00000172888	Q6ZSS3
FAAP20	199990	ENSG00000162585	Q6NZ36
ECE1	1889	ENSG00000117298	P42892
CCDC134	79879	ENSG00000100147	
ECE1	1889	ENSG00000117298	
CNOT3	4849	ENSG00000277114	O75175
FAM111A	63901	ENSG00000166801	Q96PZ2
TRIM73	375593	ENSG00000178809	
CCDC134	79879	ENSG00000100147	Q9H6E4
ZNF621	285268	ENSG00000172888	
TRIM73	375593	ENSG00000178809	Q86UV7
TBC1D14	57533	ENSG00000132405	Q9P2M4
LENG1	79165	ENSG00000277808	Q96BZ8
NEDD8-MDP1	100528064	ENSG00000255526	
ZCCHC3	85364	ENSG00000247315	Q9NUD5
FAM111A	63901	ENSG00000166801	
SORT1	6272	ENSG00000134243	Q99523
TRIM3	10612	ENSG00000110171	O75382
GSTM5	2949	ENSG00000134201	
STEAP3	55240	ENSG00000115107	Q658P3
SOX12	6666	ENSG00000177732	O15370
COQ2	27235	ENSG00000173085	
GSTM5	2949	ENSG00000134201	P46439
TRDV1		ENSG00000211804	A0A1B0GX56
SORT1	6272	ENSG00000134243	
TRDV1		ENSG00000211804	
ERP27	121506	ENSG00000139055	Q96DN0
DDX50	79009	ENSG00000107625	Q9BQ39
ERP27	121506	ENSG00000139055	
TRAV24		ENSG00000211805	A0A0B4J272
STEAP3	55240	ENSG00000115107	
TRIM3	10612	ENSG00000110171	
KRT79	338785	ENSG00000185640	Q5XKE5
KRT79	338785	ENSG00000185640	
NDUFA3	4696	ENSG00000276061	
SERPINA12	145264	ENSG00000165953	Q8IW75
TSSK4	283629	ENSG00000139908	Q6SA08
RXYLT1	10329	ENSG00000118600	Q9Y2B1
ATP4B	496	ENSG00000186009	P51164
TSSK4	283629	ENSG00000139908	
COQ2	27235	ENSG00000173085	Q96H96
DDX50	79009	ENSG00000107625	
ERICH6	131831	ENSG00000163645	Q7L0X2
PABPC5	140886	ENSG00000174740	
PABPC5	140886	ENSG00000174740	Q96DU9
ERICH6	131831	ENSG00000163645	
ZNF33B	7582	ENSG00000196693	
NDUFA3	4696	ENSG00000276061	O95167
AC005041.1		ENSG00000159239	
NBDY	550643	ENSG00000204272	A0A0U1RRE5
GSTM3	2947	ENSG00000134202	P21266
RXYLT1	10329	ENSG00000118600	
POM121C	100101267	ENSG00000272391	A8CG34
NUGGC	389643	ENSG00000189233	Q68CJ6
DZANK1	55184	ENSG00000089091	
AC055811.2		ENSG00000264187	
NBDY	550643	ENSG00000204272	
MDP1	145553	ENSG00000213920	Q86V88
ZNF33B	7582	ENSG00000196693	Q06732
PSMC6	5706	ENSG00000100519	P62333
BFAR	51283	ENSG00000275618	Q9NZS9
BFAR	51283	ENSG00000275618	
NUGGC	389643	ENSG00000189233	
POM121C	100101267	ENSG00000272391	
ZBTB10	65986	ENSG00000205189	Q96DT7
PPP2R3A	5523	ENSG00000073711	Q06190
GDF3	9573	ENSG00000184344	Q9NR23
MICB	4277	ENSG00000234218	Q29980
KCNJ4	3761	ENSG00000168135	P48050
GSTM3	2947	ENSG00000134202	
MICB	4277	ENSG00000234218	
NRSN2	80023	ENSG00000125841	
HLA-DOB	3112	ENSG00000241386	
TRIM15	89870	ENSG00000227147	Q9C019
LRRC17	10234	ENSG00000128606	Q8N6Y2
TRIM15	89870	ENSG00000227147	
